domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	Aquifex_aeolicus_VF5	AE000657.1	AAC07592	NA	biopolymer transport exbB	AAC07592.1_biopolymer_transport_exbB_[Aquifex_aeo
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chloroherpetonaceae	Chloroherpeton	Chloroherpeton_thalassium_ATCC_35110	CP001100.1	ACF14374	NA	MotA/TolQ/ExbB proton channel	ACF14374.1_MotA/TolQ/ExbB_proton_channel_[Chloroh
Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Fimbriimonas_ginsengisoli_Gsoil_348	CP007139.1	AIE86461	NA	MotA/TolQ/ExbB proton channel	AIE86461.1_MotA/TolQ/ExbB_proton_channel_[Fimbrii
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_groenlandica	CP053085.1	QJR34845	NA	hypothetical protein HKW67_04610	QJR34845.1_hypothetical_protein_HKW67_04610_[Gemm
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca_T-27	AP009153.1	BAH39052	NA	putative biopolymer transport protein	BAH39052.1_putative_biopolymer_transport_protein_
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO75002	NA	MotA/TolQ/ExbB proton channel family protein	ADO75002.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO72879	NA	MotA/TolQ/ExbB proton channel family protein	ADO72879.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Pontibacter	Pontibacter_korlensis	CP009621.1	AKD02510	NA	flagellar motor protein MotA	AKD02510.1_flagellar_motor_protein_MotA_[Pontibac
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes	CP077293.1	QXB11428	NA	Tol-Pal system protein TolQ	QXB11428.1_Tol-Pal_system_protein_TolQ_[Klebsiell
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX23532	NA	biopolymer transporter	AUX23532.1_biopolymer_transporter_[Sorangium_cell
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	Geovibrio_thiophilus	CP035108.1	QAR33783	NA	MotA/TolQ/ExbB proton channel family protein	QAR33783.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ65464	NA	colicin uptake protein TolQ	AKJ65464.1_colicin_uptake_protein_TolQ_[Kiritimat
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum	Leptospirillum_ferrooxidans_C2-3	AP012342.1	BAM06053	NA	biopolymer transport protein	BAM06053.1_biopolymer_transport_protein_[Leptospi
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum_parvum_NCIB_8327	CP001099.1	ACF11913	NA	MotA/TolQ/ExbB proton channel	ACF11913.1_MotA/TolQ/ExbB_proton_channel_[Chlorob
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum_rubrum_F11	CP003046.1	AEO48360	NA	motA chemotaxis (motility protein A)	"AEO48360.1_motA,_chemotaxis_(motility_protein_A)_"
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU27583	NA	colicin uptake protein TolQ	QDU27583.1_colicin_uptake_protein_TolQ_[Anatilimn
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY88067	NA	MotA/TolQ/ExbB proton channel family protein	QOY88067.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000032.1	MBU2986356	NA	MotA/TolQ/ExbB proton channel family protein	MBU2986356.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX75484	NA	MotA/TolQ/ExbB proton channel	ACX75484.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	Geovibrio_thiophilus	CP035108.1	QAR33784	NA	hypothetical protein EP073_10320	QAR33784.1_hypothetical_protein_EP073_10320_[Geov
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY61197	NA	MotA/TolQ/ExbB proton channel	ADY61197.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI19039	NA	MotA/TolQ/ExbB proton channel family protein	QEI19039.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO04322	NA	MotA/TolQ/ExbB proton channel family protein	UEO04322.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV63892	NA	MotA/TolQ/ExbB proton channel	ADV63892.1_MotA/TolQ/ExbB_proton_channel_[Isospha
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	Sulfurovum_lithotrophicum	CP011308.1	AKF25943	NA	biopolymer transporter ExbB	AKF25943.1_biopolymer_transporter_ExbB_[Sulfurovu
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67695	NA	tonB-system energizer ExbB	ADD67695.1_tonB-system_energizer_ExbB_[Denitrovib
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_vibrioides_NA1000	CP001340.1	ACL96805	NA	TolQ protein	ACL96805.1_TolQ_protein_[Caulobacter_vibrioides_N
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE07995	NA	MotA/TolQ/ExbB proton channel family protein	AFE07995.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV63187	NA	MotA/TolQ/ExbB proton channel	ADV63187.1_MotA/TolQ/ExbB_proton_channel_[Isospha
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter_violaceus_PCC_7421	BA000045.2	BAC89082	NA	gll1141	BAC89082.1_gll1141_[Gloeobacter_violaceus_PCC_742
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO68798	NA	MotA/TolQ/ExbB proton channel family protein	ADO68798.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU92956	NA	Biopolymer transport protein ExbB	QDU92956.1_Biopolymer_transport_protein_ExbB_[Lig
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_alpina	CP061038.1	QNQ12173	NA	MotA/TolQ/ExbB proton channel family protein	QNQ12173.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB15652	NA	MotA/TolQ/ExbB proton channel	ADB15652.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca_T-27	AP009153.1	BAH37338	NA	chemotaxis MotA protein	BAH37338.1_chemotaxis_MotA_protein_[Gemmatimonas_
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_ferrinatatus	CP018800.1	ATX82358	NA	outer membrane transport energization protein ExbB	ATX82358.1_outer_membrane_transport_energization_
Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella_thermoacetica	CP017237.1	APC07539	NA	chemotaxis protein PomA	APC07539.1_chemotaxis_protein_PomA_[Moorella_ther
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY87643	NA	MotA/TolQ/ExbB proton channel family protein	QOY87643.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG04358	NA	TolQ protein	AAG04358.1_TolQ_protein_[Pseudomonas_aeruginosa_P
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000031.2	BAC58429	NA	putative TolR	BAC58429.1_putative_TolR_[Vibrio_parahaemolyticus
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ83417	NA	motility protein A	AHZ83417.1_motility_protein_A_[Bdellovibrio_bacte
Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus_Paracaedibacter_acanthamoebae	CP008941.1	AIK95558	NA	biopolymer transporter ExbB	AIK95558.1_biopolymer_transporter_ExbB_[Candidatu
Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus_Paracaedibacter_acanthamoebae	CP008941.1	AIK95837	NA	flagellar motor protein MotA	AIK95837.1_flagellar_motor_protein_MotA_[Candidat
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD53280	NA	MotA/TolQ/ExbB proton channel family protein	QTD53280.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai_serovar_Shermani_str._LT_821	CP006695.1	EKT87417	NA	flagellar motor protein MotA	EKT87417.1_flagellar_motor_protein_MotA_[Leptospi
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_nordii	CP082886.1	UAK41566	NA	MotA/TolQ/ExbB proton channel family protein	UAK41566.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia_tsutsugamushi_str._Ikeda	AP008981.1	BAG40198	NA	TolQ protein	BAG40198.1_TolQ_protein_[Orientia_tsutsugamushi_s
Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Peredibacter_sp.	PBAF01000045.1	MBG60809	NA	MAG motility protein A	MBG60809.1_MAG:_motility_protein_A_[Peredibacter_
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD82072	NA	MotA/TolQ/ExbB proton channel	ABD82072.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ85825	NA	adventurous gliding motility protein X	AHZ85825.1_adventurous_gliding_motility_protein_X
Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus_laterosporus_DSM_25	CP017705.1	ATO49114	NA	chemotaxis protein	ATO49114.1_chemotaxis_protein_[Brevibacillus_late
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD52661	NA	MotA/TolQ/ExbB proton channel family protein	QTD52661.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_groenlandica	CP053085.1	QJR34785	NA	flagellar motor protein MotA	QJR34785.1_flagellar_motor_protein_MotA_[Gemmatim
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA04498	NA	MotA/TolQ/ExbB proton channel	ABA04498.1_MotA/TolQ/ExbB_proton_channel_[Nitroba
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella_ovis_ATCC_25840	CP000708.1	ABQ61581	NA	protein TolQ	ABQ61581.1_protein_TolQ_[Brucella_ovis_ATCC_25840
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG05312	NA	hypothetical protein PA1924	AAG05312.1_hypothetical_protein_PA1924_[Pseudomon
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD52802	NA	MotA/TolQ/ExbB proton channel family protein	QTD52802.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum_rubrum_F11	CP003046.1	AEO48324	NA	MotA/TolQ/ExbB proton channel	AEO48324.1_MotA/TolQ/ExbB_proton_channel_[Rhodosp
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY60068	NA	MotA/TolQ/ExbB proton channel	ADY60068.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV63710	NA	MotA/TolQ/ExbB proton channel	ADV63710.1_MotA/TolQ/ExbB_proton_channel_[Isospha
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA05299	NA	outer membrane transport energization protein ExbB	ABA05299.1_outer_membrane_transport_energization_
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF92421	NA	tonB system transport protein ExbB/TolQ	ABF92421.1_tonB_system_transport_protein_ExbB/Tol
Bacteria	Pseudomonadota	Deltaproteobacteria	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus_aciditrophicus_SB	CP000252.1	ABC78648	NA	tolQ protein	ABC78648.1_tolQ_protein_[Syntrophus_aciditrophicu
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum_parvum_NCIB_8327	CP001099.1	ACF11057	NA	protein TolQ	ACF11057.1_protein_TolQ_[Chlorobaculum_parvum_NCI
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_aestuarium	CP018799.1	ATX79746	NA	Cell division and transport-associated protein TolQ	ATX79746.1_Cell_division_and_transport-associated
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD50492	NA	MotA/TolQ/ExbB proton channel family protein	QTD50492.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus	Marinithermus_hydrothermalis_DSM_14884	CP002630.1	AEB12216	NA	MotA/TolQ/ExbB proton channel	AEB12216.1_MotA/TolQ/ExbB_proton_channel_[Marinit
Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	Telmatocola_sphagniphila	CP074694.1	QVL33268	NA	MotA/TolQ/ExbB proton channel family protein	QVL33268.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18325	NA	MotA/TolQ/ExbB proton channel family protein	QEI18325.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ86892	NA	adventurous gliding motility protein R	AHZ86892.1_adventurous_gliding_motility_protein_R
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_ruber	CP007028.1	AHE95642	NA	biopolymer transporter ExbB	AHE95642.1_biopolymer_transporter_ExbB_[Thermocri
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Pelodictyon	Pelodictyon_phaeoclathratiforme_BU-1	CP001110.1	ACF44367	NA	protein TolQ	ACF44367.1_protein_TolQ_[Pelodictyon_phaeoclathra
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_aestuarium	CP018799.1	ATX79248	NA	outer membrane transport energization protein ExbB	ATX79248.1_outer_membrane_transport_energization_
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_aestuarium	CP018799.1	ATX80498	NA	biopolymer transport protein ExbB	ATX80498.1_biopolymer_transport_protein_ExbB_[Mar
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_pecorum_PV3056/3	CP004033.1	AGW38400	NA	putative transport protein	AGW38400.1_putative_transport_protein_[Chlamydia_
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum_ATCC_51196	CP001472.1	ACO33277	NA	chemotaxis MotA protein	ACO33277.1_chemotaxis_MotA_protein_[Acidobacteriu
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG08339	NA	chemotaxis protein MotA	AAG08339.1_chemotaxis_protein_MotA_[Pseudomonas_a
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum_halorespirans_DSM_13726	CP017111.1	AOO64467	NA	putative biopolymer transport protein ExbB-like	AOO64467.1_putative_biopolymer_transport_protein_
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU98468	NA	Biopolymer transport protein ExbB	QDU98468.1_Biopolymer_transport_protein_ExbB_[Lig
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae_PB90-1	CP001032.1	ACB73533	NA	MotA/TolQ/ExbB proton channel	ACB73533.1_MotA/TolQ/ExbB_proton_channel_[Opitutu
Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_maricopensis_DSM_21211	CP002454.1	ADV67905	NA	MotA/TolQ/ExbB proton channel	ADV67905.1_MotA/TolQ/ExbB_proton_channel_[Deinoco
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter_violaceus_PCC_7421	BA000045.2	BAC90343	NA	MotA/TolQ/ExbB family proton channel protein	BAC90343.1_MotA/TolQ/ExbB_family_proton_channel_p
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium_phaeobacteroides_DSM_266	CP000492.1	ABL64659	NA	outer membrane transport energization protein ExbB	ABL64659.1_outer_membrane_transport_energization_
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000032.1	MBU2986357	NA	MotA/TolQ/ExbB proton channel family protein	MBU2986357.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD81321	NA	MotA/TolQ/ExbB proton channel	ABD81321.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE07994	NA	MotA/TolQ/ExbB proton channel family protein	AFE07994.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC64798	NA	flagellar motor protein MotA	ATC64798.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO05991	NA	MotA/TolQ/ExbB proton channel family protein	UEO05991.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67090	NA	MotA/TolQ/ExbB proton channel	ADD67090.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD81792	NA	MotA/TolQ/ExbB proton channel	ABD81792.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY58376	NA	MotA/TolQ/ExbB proton channel	ADY58376.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia_buccalis_C-1013-b	CP001685.1	ACV38437	NA	MotA/TolQ/ExbB proton channel	ACV38437.1_MotA/TolQ/ExbB_proton_channel_[Leptotr
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella_sonnei	CP055292.1	QKY94846	NA	tol-pal system-associated acyl-CoA thioesterase	QKY94846.1_tol-pal_system-associated_acyl-CoA_thi
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum_rubrum_F11	CP003046.1	AEO47025	NA	MotA/TolQ/ExbB proton channel	AEO47025.1_MotA/TolQ/ExbB_proton_channel_[Rhodosp
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	Candidatus_Midichloria_mitochondrii_IricVA	CP002130.1	AEI88772	NA	flagellar motor protein MotA duplicate	AEI88772.1_flagellar_motor_protein_MotA_duplicate
Bacteria	Pseudomonadota	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas_sediminis	CP030032.1	AWV89791	NA	MotA/TolQ/ExbB proton channel family protein	AWV89791.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_autoethanogenum_DSM_10061	CP012395.1	ALU35076	NA	MotA/TolQ/ExbB proton channel	ALU35076.1_MotA/TolQ/ExbB_proton_channel_[Clostri
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB15801	NA	hypothetical protein Psta_1118	ADB15801.1_hypothetical_protein_Psta_1118_[Pirell
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO02151	NA	MotA/TolQ/ExbB proton channel family protein	UEO02151.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae_PB90-1	CP001032.1	ACB73691	NA	MotA/TolQ/ExbB proton channel	ACB73691.1_MotA/TolQ/ExbB_proton_channel_[Opitutu
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000023.1	MBU2985330	NA	flagellar motor protein PomA	MBU2985330.1_flagellar_motor_protein_PomA_[Saccha
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai_serovar_Shermani_str._LT_821	CP006694.1	EKT88755	NA	endoflagellar motor protein	EKT88755.1_endoflagellar_motor_protein_[Leptospir
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ63346	NA	Biopolymer transport protein ExbB	AKJ63346.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE07999	NA	MotA/TolQ/ExbB proton channel family protein	AFE07999.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_alpina	CP061038.1	QNQ09341	NA	flagellar motor stator protein MotA	QNQ09341.1_flagellar_motor_stator_protein_MotA_[S
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	Thermodesulfovibrio_yellowstonii_DSM_11347	CP001147.1	ACI21187	NA	chemotaxis MotA protein	ACI21187.1_chemotaxis_MotA_protein_[Thermodesulfo
