#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2CAA9EAD860FDECB-11C92E937F7B19B7
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-08-16T00:35:54	Run time	0:00:04:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#186 - AUX22204.1	superfamily	444982	86	202	9.14187e-23	89.0888	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#187 - AWV89791.1	superfamily	444982	76	190	1.07303e-21	86.0072	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#188 - QQS05296.1	superfamily	444982	72	189	3.89596e-20	81.77	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#189 - AHZ84037.1	superfamily	444982	71	189	3.15434e-26	98.3336	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#190 - AWV89461.1	superfamily	444982	57	175	1.48368e-17	75.2216	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#191 - QQS88496.1	superfamily	223881	1	202	2.21691e-51	164.793	cl42820	TolQ superfamily	 - 	 - 
Q#192 - AVQ29260.1	superfamily	223881	1	206	6.50814e-36	125.117	cl42820	TolQ superfamily	 - 	 - 
Q#193 - AVQ29523.1	superfamily	223881	5	200	6.58905e-44	145.918	cl42820	TolQ superfamily	 - 	 - 
Q#194 - BBM36826.1	superfamily	223881	1	208	6.19091e-43	143.607	cl42820	TolQ superfamily	 - 	 - 
Q#195 - ACV38437.1	superfamily	223881	1	207	1.97129e-39	134.362	cl42820	TolQ superfamily	 - 	 - 
Q#196 - QQS88170.1	superfamily	223881	1	203	1.37812e-51	165.178	cl42820	TolQ superfamily	 - 	 - 
Q#197 - AVQ28424.1	superfamily	223881	1	203	8.36549e-45	147.844	cl42820	TolQ superfamily	 - 	 - 
Q#198 - ALW88052.1	superfamily	223881	1	205	8.22499e-41	138.599	cl42820	TolQ superfamily	 - 	 - 
Q#199 - ADV67905.1	superfamily	223881	1	202	1.17199e-36	127.814	cl42820	TolQ superfamily	 - 	 - 
Q#200 - AAS80673.1	superfamily	444982	45	101	6.07915e-14	62.8952	cl00568	MotA_ExbB superfamily	N	 - 
Q#201 - AEB12216.1	superfamily	223881	20	193	8.06614e-32	114.717	cl42820	TolQ superfamily	 - 	 - 
Q#202 - ADI15492.1	superfamily	223881	1	192	1.05226e-42	143.992	cl42820	TolQ superfamily	 - 	 - 
Q#203 - ADC89509.1	superfamily	223881	4	202	6.28813e-34	120.11	cl42820	TolQ superfamily	 - 	 - 
Q#204 - AHE96346.1	superfamily	223881	1	184	1.84899e-36	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#205 - ADO44512.1	superfamily	223881	3	204	1.91886e-29	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#206 - AAC07752.1	superfamily	223881	1	204	2.70283e-46	151.696	cl42820	TolQ superfamily	 - 	 - 
Q#207 - ATU65616.1	superfamily	223881	1	195	2.76162e-47	154.778	cl42820	TolQ superfamily	 - 	 - 
Q#208 - EED66861.1	superfamily	223881	1	205	5.03242e-44	146.303	cl42820	TolQ superfamily	 - 	 - 
Q#209 - UBQ05954.1	superfamily	223881	1	206	4.63899e-38	130.895	cl42820	TolQ superfamily	 - 	 - 
Q#210 - APW42522.1	superfamily	223881	1	193	7.17292e-41	138.214	cl42820	TolQ superfamily	 - 	 - 
Q#211 - EGI75860.1	superfamily	223881	1	210	3.39426e-43	144.763	cl42820	TolQ superfamily	 - 	 - 
Q#212 - CAJ49708.1	superfamily	223881	1	190	1.77161e-36	126.273	cl42820	TolQ superfamily	 - 	 - 
Q#213 - CAQ68548.1	superfamily	223881	1	205	1.84471e-45	149.77	cl42820	TolQ superfamily	 - 	 - 
Q#214 - QKS29102.1	superfamily	223881	1	198	2.05196e-44	147.074	cl42820	TolQ superfamily	 - 	 - 
Q#215 - ABI59754.1	superfamily	223881	1	201	9.77504e-41	137.444	cl42820	TolQ superfamily	 - 	 - 
Q#216 - ADE11603.1	superfamily	223881	1	198	7.45757e-42	140.525	cl42820	TolQ superfamily	 - 	 - 
Q#217 - AAQ61012.1	superfamily	223881	1	198	1.08174e-45	150.155	cl42820	TolQ superfamily	 - 	 - 
Q#218 - AAZ97463.1	superfamily	223881	1	200	2.2699e-47	154.393	cl42820	TolQ superfamily	 - 	 - 
Q#219 - ABE50359.1	superfamily	223881	1	200	5.8286e-41	138.214	cl42820	TolQ superfamily	 - 	 - 
Q#220 - ACT47556.1	superfamily	223881	1	198	1.67341e-43	144.377	cl42820	TolQ superfamily	 - 	 - 
Q#221 - AAU93073.1	superfamily	223881	1	200	5.3391e-48	156.319	cl42820	TolQ superfamily	 - 	 - 
Q#222 - AAG06371.1	superfamily	223881	1	201	4.68893e-52	166.719	cl42820	TolQ superfamily	 - 	 - 
Q#223 - AOP57473.1	superfamily	223881	1	201	4.68893e-52	166.719	cl42820	TolQ superfamily	 - 	 - 
Q#224 - AAY36681.1	superfamily	223881	11	216	7.34974e-35	123.577	cl42820	TolQ superfamily	 - 	 - 
Q#225 - ABY97379.1	superfamily	223881	12	215	1.28162e-35	125.117	cl42820	TolQ superfamily	 - 	 - 
Q#226 - EGW22187.1	superfamily	223881	1	201	7.84375e-50	160.941	cl42820	TolQ superfamily	 - 	 - 
Q#227 - ABM18827.1	superfamily	223881	1	201	1.24667e-46	152.852	cl42820	TolQ superfamily	 - 	 - 
Q#228 - CCG95042.1	superfamily	223881	1	201	1.40447e-46	152.852	cl42820	TolQ superfamily	 - 	 - 
Q#229 - ADP97830.1	superfamily	223881	1	201	5.09791e-46	151.311	cl42820	TolQ superfamily	 - 	 - 
Q#230 - EHJ06609.1	superfamily	223881	1	201	5.09791e-46	151.311	cl42820	TolQ superfamily	 - 	 - 
Q#231 - ABD81321.1	superfamily	223881	1	203	1.68864e-43	144.763	cl42820	TolQ superfamily	 - 	 - 
Q#232 - MBU2985725.1	superfamily	223881	1	203	4.86701e-44	146.303	cl42820	TolQ superfamily	 - 	 - 
Q#233 - QEI19442.1	superfamily	223881	1	202	1.0123e-44	147.844	cl42820	TolQ superfamily	 - 	 - 
Q#234 - ADZ91239.1	superfamily	223881	1	202	1.93162e-46	152.081	cl42820	TolQ superfamily	 - 	 - 
Q#235 - ABA59126.1	superfamily	223881	21	221	1.52518e-52	169.801	cl42820	TolQ superfamily	 - 	 - 
Q#236 - ACL72454.1	superfamily	223881	1	199	2.82384e-44	146.689	cl42820	TolQ superfamily	 - 	 - 
Q#237 - AGH77573.1	superfamily	223881	1	201	1.11326e-45	150.926	cl42820	TolQ superfamily	 - 	 - 
Q#238 - AAM41407.1	superfamily	223881	1	200	2.11011e-45	150.155	cl42820	TolQ superfamily	 - 	 - 
Q#239 - ABA88751.2	superfamily	223881	1	188	4.05809e-34	120.495	cl42820	TolQ superfamily	 - 	 - 
Q#240 - ATX81215.1	superfamily	223881	1	188	3.76454e-36	125.888	cl42820	TolQ superfamily	 - 	 - 
Q#241 - ATX80498.1	superfamily	223881	1	188	2.93992e-35	123.577	cl42820	TolQ superfamily	 - 	 - 
Q#242 - AWV88047.1	superfamily	223881	9	206	2.96355e-31	114.332	cl42820	TolQ superfamily	 - 	 - 
Q#243 - AEI15149.1	superfamily	223881	1	197	1.71547e-40	137.059	cl42820	TolQ superfamily	 - 	 - 
Q#244 - QAR32927.1	superfamily	223881	6	205	1.71301e-39	134.362	cl42820	TolQ superfamily	 - 	 - 
Q#245 - ADD67874.1	superfamily	223881	4	201	2.50058e-29	108.169	cl42820	TolQ superfamily	 - 	 - 
Q#246 - USF25003.1	superfamily	223881	1	197	8.06001e-24	93.9162	cl42820	TolQ superfamily	 - 	 - 
Q#247 - QTD50766.1	superfamily	223881	1	188	1.22884e-31	114.332	cl42820	TolQ superfamily	 - 	 - 
Q#248 - BAC61768.1	superfamily	223881	5	206	1.10154e-35	125.503	cl42820	TolQ superfamily	 - 	 - 
Q#249 - EAS74010.1	superfamily	223881	5	206	3.45621e-34	121.651	cl42820	TolQ superfamily	 - 	 - 
Q#250 - BAC96449.1	superfamily	223881	42	235	8.64246e-21	87.3678	cl42820	TolQ superfamily	 - 	 - 
Q#251 - EAP96731.1	superfamily	223881	11	211	2.57651e-33	119.339	cl42820	TolQ superfamily	 - 	 - 
Q#252 - EDL51172.1	superfamily	223881	11	207	9.45336e-34	120.495	cl42820	TolQ superfamily	 - 	 - 
Q#253 - QEO43084.1	superfamily	223881	12	211	4.7098e-30	110.865	cl42820	TolQ superfamily	 - 	 - 
Q#254 - AAF96808.1	superfamily	223881	12	211	4.7098e-30	110.865	cl42820	TolQ superfamily	 - 	 - 
Q#255 - EEW05060.1	superfamily	223881	12	211	4.97126e-28	105.472	cl42820	TolQ superfamily	 - 	 - 
Q#256 - GAA04317.1	superfamily	223881	7	207	6.8681e-13	65.4114	cl42820	TolQ superfamily	 - 	 - 
Q#257 - CAG20502.1	superfamily	223881	11	205	2.40383e-13	66.1818	cl42820	TolQ superfamily	 - 	 - 
Q#258 - AAW85719.1	superfamily	223881	11	207	6.31805e-13	65.4114	cl42820	TolQ superfamily	 - 	 - 
Q#259 - AVQ86603.1	superfamily	223881	12	210	6.3238e-16	73.1154	cl42820	TolQ superfamily	 - 	 - 
Q#260 - WP_084976614.1	superfamily	223881	12	210	5.09733e-16	73.5006	cl42820	TolQ superfamily	 - 	 - 
Q#261 - UXK07781.1	superfamily	223881	9	213	1.08659e-12	65.0262	cl42820	TolQ superfamily	 - 	 - 
Q#262 - AAN56656.1	superfamily	223881	24	225	4.56048e-13	66.1818	cl42820	TolQ superfamily	 - 	 - 
Q#263 - BAJ03531.1	superfamily	223881	13	208	3.09985e-11	60.789	cl42820	TolQ superfamily	 - 	 - 
Q#264 - AWI09431.1	superfamily	444982	94	178	3.55689e-16	71.3696	cl00568	MotA_ExbB superfamily	N	 - 
Q#264 - AWI09431.1	superfamily	223881	17	187	8.44053e-14	67.3374	cl42820	TolQ superfamily	 - 	 - 
Q#265 - ATC62595.1	superfamily	223881	11	190	3.21646e-19	81.5898	cl42820	TolQ superfamily	 - 	 - 
Q#266 - ACB77180.1	superfamily	223881	1	195	4.60401e-27	102.005	cl42820	TolQ superfamily	 - 	 - 
Q#267 - SEH78546.1	superfamily	444982	87	180	2.18082e-21	84.8516	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#267 - SEH78546.1	superfamily	223881	7	197	6.36335e-20	83.5158	cl42820	TolQ superfamily	 - 	 - 
Q#268 - QJE97269.1	superfamily	223881	24	209	5.85633e-26	100.079	cl42820	TolQ superfamily	 - 	 - 
Q#269 - QSR84464.1	superfamily	223881	20	211	8.4325e-16	73.1154	cl42820	TolQ superfamily	 - 	 - 
Q#271 - ACZ19742.1	superfamily	223881	11	201	3.74096e-24	94.6866	cl42820	TolQ superfamily	 - 	 - 
Q#272 - AAS97278.1	superfamily	223881	1	202	1.71017e-17	78.123	cl42820	TolQ superfamily	 - 	 - 
Q#273 - ACV68207.1	superfamily	223881	1	196	7.7227e-26	98.9238	cl42820	TolQ superfamily	 - 	 - 
Q#274 - QDU25761.1	superfamily	223881	56	238	1.73741e-30	113.176	cl42820	TolQ superfamily	 - 	 - 
Q#275 - ADB17134.1	superfamily	223881	46	254	1.61204e-17	78.8934	cl42820	TolQ superfamily	 - 	 - 
Q#276 - QDU93364.1	superfamily	223881	56	264	3.54066e-21	89.2938	cl42820	TolQ superfamily	 - 	 - 
Q#277 - CAD71937.1	superfamily	444982	203	314	1.35688e-27	104.497	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#278 - ADY58376.1	superfamily	223881	126	255	6.94458e-23	93.1458	cl42820	TolQ superfamily	N	 - 
Q#279 - ADV60824.1	superfamily	223881	108	325	1.38508e-23	96.6126	cl42820	TolQ superfamily	 - 	 - 
Q#280 - QDU29130.1	superfamily	223881	86	281	3.30298e-24	97.7682	cl42820	TolQ superfamily	 - 	 - 
Q#281 - ADB17547.1	superfamily	223881	71	269	3.32634e-24	97.7682	cl42820	TolQ superfamily	 - 	 - 
Q#282 - QDU99088.1	superfamily	223881	70	276	4.75607e-25	100.079	cl42820	TolQ superfamily	 - 	 - 
Q#283 - CAD77369.1	superfamily	223881	82	275	1.75436e-22	93.1458	cl42820	TolQ superfamily	 - 	 - 
Q#285 - QTD51577.1	superfamily	444963	200	278	0.00837393	35.7073	cl00537	ExbD superfamily	N	 - 
Q#286 - QDU25322.1	superfamily	444982	130	247	1.14696e-26	100.26	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#287 - ADB18835.1	superfamily	444982	140	257	1.12307e-25	97.9484	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#288 - QDU98188.1	superfamily	444982	146	263	5.57013e-34	119.52	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#289 - CAD73493.1	superfamily	444982	115	232	1.8313e-29	107.193	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#290 - ADY58081.1	superfamily	223881	77	271	4.16971e-29	110.095	cl42820	TolQ superfamily	 - 	 - 
Q#291 - QVL32579.1	superfamily	223881	48	246	2.65182e-22	91.605	cl42820	TolQ superfamily	 - 	 - 
Q#292 - ADV63187.1	superfamily	444982	149	263	3.77286e-22	89.0888	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#293 - ADV63892.1	superfamily	223881	101	303	5.78251e-28	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#294 - QDU98468.1	superfamily	223881	43	224	2.14296e-25	99.309	cl42820	TolQ superfamily	 - 	 - 
Q#295 - CAD74695.1	superfamily	444982	103	219	3.60459e-24	94.0964	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#296 - QDU30851.1	superfamily	223881	73	283	2.86622e-27	105.857	cl42820	TolQ superfamily	 - 	 - 
Q#297 - ADB15652.1	superfamily	223881	70	257	1.20163e-27	106.628	cl42820	TolQ superfamily	 - 	 - 
Q#298 - ADY61978.1	superfamily	223881	26	222	5.85607e-29	108.169	cl42820	TolQ superfamily	 - 	 - 
Q#299 - ARN57520.1	superfamily	444982	148	237	3.59912e-27	101.415	cl00568	MotA_ExbB superfamily	N	 - 
Q#299 - ARN57520.1	superfamily	223881	60	255	8.52322e-26	100.465	cl42820	TolQ superfamily	 - 	 - 
Q#300 - QDU94893.1	superfamily	444982	147	262	1.39629e-27	102.956	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#301 - ADB16663.1	superfamily	223881	71	260	7.91269e-26	101.235	cl42820	TolQ superfamily	 - 	 - 
Q#302 - QJE97562.1	superfamily	223881	42	226	4.05244e-29	109.324	cl42820	TolQ superfamily	 - 	 - 
Q#304 - SEH93354.1	superfamily	444982	133	230	1.4089e-23	92.1704	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#305 - AKJ63368.1	superfamily	223881	22	207	1.15611e-18	80.8194	cl42820	TolQ superfamily	 - 	 - 
Q#306 - QSR84626.1	superfamily	223881	24	221	9.07987e-28	105.857	cl42820	TolQ superfamily	 - 	 - 
Q#308 - SEI00245.1	superfamily	223881	8	230	1.00662e-26	102.776	cl42820	TolQ superfamily	 - 	 - 
Q#309 - QJE95191.1	superfamily	223881	34	241	1.45467e-31	116.258	cl42820	TolQ superfamily	 - 	 - 
Q#310 - AKJ64099.1	superfamily	223881	47	246	1.53322e-31	115.873	cl42820	TolQ superfamily	 - 	 - 
Q#311 - WP_048698969.1	superfamily	444982	347	434	4.78306e-19	82.5404	cl00568	MotA_ExbB superfamily	N	 - 
Q#312 - ADY81529.1	superfamily	223881	1	196	1.93868e-45	149.77	cl42820	TolQ superfamily	 - 	 - 
Q#313 - AFY71449.1	superfamily	223881	7	199	4.3056e-40	136.288	cl42820	TolQ superfamily	 - 	 - 
Q#314 - BAA16604.1	superfamily	223881	1	201	1.59579e-40	137.444	cl42820	TolQ superfamily	 - 	 - 
Q#315 - QIZ70555.1	superfamily	223881	1	205	2.69702e-35	123.962	cl42820	TolQ superfamily	 - 	 - 
Q#316 - UNU17462.1	superfamily	223881	5	203	1.21131e-51	165.949	cl42820	TolQ superfamily	 - 	 - 
Q#317 - QZZ23337.1	superfamily	223881	1	198	9.59806e-28	104.317	cl42820	TolQ superfamily	 - 	 - 
Q#318 - ACC83311.1	superfamily	223881	3	208	8.80493e-39	133.207	cl42820	TolQ superfamily	 - 	 - 
Q#319 - ACC79528.1	superfamily	223881	1	208	1.01441e-36	127.814	cl42820	TolQ superfamily	 - 	 - 
Q#320 - QZZ22141.1	superfamily	223881	6	207	1.89006e-33	119.339	cl42820	TolQ superfamily	 - 	 - 
Q#321 - QZZ19520.1	superfamily	223881	27	202	8.37409e-29	107.398	cl42820	TolQ superfamily	 - 	 - 
Q#322 - ACC83506.1	superfamily	223881	1	203	3.40899e-28	106.243	cl42820	TolQ superfamily	 - 	 - 
Q#323 - QIZ71789.1	superfamily	223881	1	203	7.34963e-54	173.267	cl42820	TolQ superfamily	 - 	 - 
Q#324 - BAA16958.1	superfamily	223881	1	204	4.82769e-34	121.265	cl42820	TolQ superfamily	 - 	 - 
Q#325 - UNU18280.1	superfamily	223881	1	203	1.69412e-27	105.087	cl42820	TolQ superfamily	 - 	 - 
Q#326 - AFY68531.1	superfamily	223881	1	202	8.07953e-20	83.5158	cl42820	TolQ superfamily	 - 	 - 
Q#327 - QZZ21680.1	superfamily	223881	5	206	5.52511e-47	154.393	cl42820	TolQ superfamily	 - 	 - 
Q#328 - BAA10590.1	superfamily	223881	21	234	2.36943e-36	128.199	cl42820	TolQ superfamily	 - 	 - 
Q#329 - BAC90343.1	superfamily	223881	1	200	1.62206e-27	103.546	cl42820	TolQ superfamily	 - 	 - 
Q#330 - BAC89328.1	superfamily	223881	1	200	1.62206e-27	103.546	cl42820	TolQ superfamily	 - 	 - 
Q#331 - AWI08882.1	superfamily	223881	22	213	5.74788e-30	110.48	cl42820	TolQ superfamily	 - 	 - 
Q#332 - ATC64798.1	superfamily	223881	8	206	1.69228e-33	119.725	cl42820	TolQ superfamily	 - 	 - 
Q#333 - ATC62712.1	superfamily	223881	6	214	3.82914e-30	110.865	cl42820	TolQ superfamily	 - 	 - 
Q#334 - ACB75629.1	superfamily	223881	18	213	3.83644e-37	128.969	cl42820	TolQ superfamily	 - 	 - 
Q#335 - QSR84237.1	superfamily	223881	1	194	2.47502e-13	66.1818	cl42820	TolQ superfamily	 - 	 - 
Q#336 - QSR83870.1	superfamily	223881	1	199	5.53775e-19	81.5898	cl42820	TolQ superfamily	 - 	 - 
Q#337 - QSR85862.1	superfamily	223881	5	205	2.42443e-21	87.753	cl42820	TolQ superfamily	 - 	 - 
Q#338 - QJE97567.1	superfamily	223881	14	208	7.16536e-28	105.087	cl42820	TolQ superfamily	 - 	 - 
Q#339 - AKJ64362.1	superfamily	223881	1	201	8.1874e-38	130.51	cl42820	TolQ superfamily	 - 	 - 
Q#340 - AHE96301.1	superfamily	444982	23	127	4.18238e-18	74.4512	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#341 - AAY35935.1	superfamily	444982	86	181	3.00377e-09	52.88	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#342 - ACT11863.1	superfamily	444982	84	181	1.04013e-25	96.7928	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#343 - KFD16490.1	superfamily	444982	83	181	2.58827e-25	95.252	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#344 - ATU63381.1	superfamily	223881	15	193	2.09382e-10	57.7074	cl42820	TolQ superfamily	 - 	 - 
Q#345 - BAM06053.1	superfamily	223881	1	204	6.08538e-27	102.776	cl42820	TolQ superfamily	 - 	 - 
Q#346 - EGO61941.1	superfamily	223881	48	248	4.77661e-31	114.332	cl42820	TolQ superfamily	 - 	 - 
Q#347 - CCW36281.1	superfamily	223881	11	206	2.26716e-39	133.977	cl42820	TolQ superfamily	 - 	 - 
Q#348 - AIE86461.1	superfamily	223881	3	200	4.03063e-40	135.903	cl42820	TolQ superfamily	 - 	 - 
Q#349 - EHJ02650.1	superfamily	444982	146	203	3.53184e-08	50.5688	cl00568	MotA_ExbB superfamily	N	 - 
Q#350 - ADP99653.1	superfamily	444982	146	203	3.56699e-08	50.5688	cl00568	MotA_ExbB superfamily	N	 - 
Q#351 - ABM17293.1	superfamily	444982	149	207	1.17716e-12	62.8952	cl00568	MotA_ExbB superfamily	N	 - 
Q#352 - CCG93687.1	superfamily	444982	111	169	2.21612e-13	64.436	cl00568	MotA_ExbB superfamily	N	 - 
Q#353 - ACL69931.1	superfamily	223881	12	192	1.44087e-39	135.133	cl42820	TolQ superfamily	 - 	 - 
Q#354 - BAS27557.1	superfamily	223881	1	197	4.20716e-30	110.095	cl42820	TolQ superfamily	 - 	 - 
Q#355 - EKT86397.1	superfamily	223881	21	195	7.96407e-32	114.717	cl42820	TolQ superfamily	 - 	 - 
Q#356 - AAS70216.1	superfamily	223881	21	195	3.021e-33	118.184	cl42820	TolQ superfamily	 - 	 - 
Q#357 - ABZ97738.1	superfamily	223881	23	199	8.58273e-38	130.125	cl42820	TolQ superfamily	 - 	 - 
Q#358 - CCG56832.1	superfamily	223881	17	207	3.27071e-22	89.679	cl42820	TolQ superfamily	 - 	 - 
Q#359 - AEM22241.1	superfamily	223881	14	200	6.08384e-25	96.9978	cl42820	TolQ superfamily	 - 	 - 
Q#360 - SEH96646.1	superfamily	223881	8	198	1.38743e-15	72.345	cl42820	TolQ superfamily	 - 	 - 
Q#361 - QJE97381.1	superfamily	223881	11	203	1.41194e-26	102.005	cl42820	TolQ superfamily	 - 	 - 
Q#362 - ALJ56692.1	superfamily	223881	6	199	1.49874e-11	61.1742	cl42820	TolQ superfamily	 - 	 - 
Q#363 - QSR84174.1	superfamily	223881	32	223	8.34053e-31	113.561	cl42820	TolQ superfamily	 - 	 - 
Q#365 - AVM45415.1	superfamily	223881	5	206	4.33083e-29	107.783	cl42820	TolQ superfamily	 - 	 - 
Q#366 - AWI08418.1	superfamily	223881	6	202	1.31007e-26	102.005	cl42820	TolQ superfamily	 - 	 - 
Q#367 - ATC63405.1	superfamily	444982	72	188	5.17118e-24	92.5556	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#368 - ACB73533.1	superfamily	223881	6	207	1.46666e-25	98.9238	cl42820	TolQ superfamily	 - 	 - 
Q#369 - CCB87487.1	superfamily	444982	80	195	2.1968e-31	111.045	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#370 - AKJ65567.1	superfamily	223881	69	201	5.20662e-27	102.391	cl42820	TolQ superfamily	N	 - 
Q#371 - GAC24086.1	superfamily	223881	1	191	3.87736e-29	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#372 - ADZ89749.1	superfamily	444982	76	192	5.74916e-10	55.1912	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#373 - ABS64497.1	superfamily	444982	109	228	5.58077e-30	108.734	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#374 - AAZ26683.1	superfamily	223881	5	198	1.35269e-15	71.9598	cl42820	TolQ superfamily	 - 	 - 
Q#375 - ATX82358.1	superfamily	223881	9	187	1.15537e-26	101.235	cl42820	TolQ superfamily	 - 	 - 
Q#376 - ATX79248.1	superfamily	223881	3	187	1.6534e-28	106.243	cl42820	TolQ superfamily	 - 	 - 
Q#377 - ABA89630.1	superfamily	223881	8	207	1.26352e-36	128.199	cl42820	TolQ superfamily	 - 	 - 
Q#378 - QAR33430.1	superfamily	223881	1	196	1.69155e-29	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#379 - ADD67609.1	superfamily	223881	1	200	2.2131e-29	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#380 - BCB95942.1	superfamily	223881	1	172	4.0706e-31	112.021	cl42820	TolQ superfamily	 - 	 - 
Q#381 - UAK42981.1	superfamily	444982	128	245	3.87461e-22	88.3184	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#382 - CBW24011.1	superfamily	444982	133	250	1.16121e-21	87.1628	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#383 - WP_008766463.1	superfamily	444982	127	244	1.1964e-21	87.1628	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#384 - ABC44468.1	superfamily	223881	29	218	2.07152e-34	122.421	cl42820	TolQ superfamily	 - 	 - 
Q#385 - EKT88184.1	superfamily	223881	59	252	1.56667e-43	147.074	cl42820	TolQ superfamily	 - 	 - 
Q#386 - AAS69506.1	superfamily	223881	63	256	8.94957e-43	145.148	cl42820	TolQ superfamily	 - 	 - 
Q#387 - ABZ96294.1	superfamily	223881	76	270	3.80941e-43	146.303	cl42820	TolQ superfamily	 - 	 - 
Q#388 - QDU31292.1	superfamily	223881	126	327	9.66634e-36	129.355	cl42820	TolQ superfamily	 - 	 - 
Q#389 - ADB17458.1	superfamily	223881	91	300	5.85664e-35	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#390 - QDU92956.1	superfamily	223881	82	301	2.1323e-33	122.421	cl42820	TolQ superfamily	 - 	 - 
Q#391 - QTD53280.1	superfamily	444982	71	185	8.4931e-35	119.52	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#392 - CBW24263.1	superfamily	223881	34	240	1.87354e-34	122.806	cl42820	TolQ superfamily	 - 	 - 
Q#393 - WP_008760839.1	superfamily	223881	24	239	2.61869e-34	122.421	cl42820	TolQ superfamily	 - 	 - 
Q#394 - UAK41330.1	superfamily	223881	34	224	4.27755e-35	124.347	cl42820	TolQ superfamily	 - 	 - 
Q#395 - BCI63565.1	superfamily	223881	31	229	1.61725e-36	127.814	cl42820	TolQ superfamily	 - 	 - 
Q#396 - AKD04823.1	superfamily	223881	33	234	2.10544e-33	119.725	cl42820	TolQ superfamily	 - 	 - 
Q#397 - AEW00830.1	superfamily	223881	35	238	2.25112e-29	109.324	cl42820	TolQ superfamily	 - 	 - 
Q#398 - ABG60812.1	superfamily	223881	31	219	3.76521e-23	92.7606	cl42820	TolQ superfamily	 - 	 - 
Q#399 - ABC44034.1	superfamily	223881	18	220	2.57274e-40	137.444	cl42820	TolQ superfamily	 - 	 - 
Q#400 - QAT17590.1	superfamily	223881	1	203	1.50125e-30	111.25	cl42820	TolQ superfamily	 - 	 - 
Q#401 - WP_074859237.1	superfamily	444982	151	247	6.34423e-31	111.43	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#401 - WP_074859237.1	superfamily	223881	40	246	1.82764e-25	100.079	cl42820	TolQ superfamily	 - 	 - 
Q#402 - CBW24418.1	superfamily	444982	155	251	1.17594e-30	110.66	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#403 - UAK41566.1	superfamily	444982	154	250	5.36771e-31	111.43	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#404 - BCI63438.1	superfamily	444982	156	252	8.02911e-31	111.045	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#405 - AEW03299.1	superfamily	444982	140	269	7.0304e-11	58.2728	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#406 - ABG59284.1	superfamily	444982	152	248	8.33587e-34	119.134	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#407 - AKD02510.1	superfamily	444982	132	260	1.44293e-32	116.053	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#408 - ABL64659.1	superfamily	444982	109	228	3.41755e-27	101.03	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#409 - ACD90995.1	superfamily	444982	125	227	5.24004e-27	100.645	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#410 - ACF43024.1	superfamily	223881	35	235	1.13954e-23	94.6866	cl42820	TolQ superfamily	 - 	 - 
Q#411 - ACF11913.1	superfamily	444982	109	228	7.12431e-28	102.956	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#412 - ACF14782.1	superfamily	444982	102	228	1.37222e-30	109.89	cl00568	MotA_ExbB superfamily	 - 	 - 
